fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
24,1206,27,0.022388059701492536,0.15,0.15,0.15,0.0024875621890547263,1.0,0.1111111111111111,0.19999999999999998,0,0.0281531531531531
25,1110,57,0.051351351351351354,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.0,,0.0,,0,0.0483271375464684
26,1316,61,0.04635258358662614,0.5,0.5,0.5,0.0,,0.0,,0,0.0625766871165644
27,1717,56,0.032615026208503206,0.7699999999999998,0.77,0.77,0.0017472335468841002,1.0,0.05357142857142857,0.10169491525423728,0,0.024390243902439
28,1554,105,0.06756756756756757,0.99,0.99,0.99,0.0,,0.0,,0,0.0682730923694779
29,1487,69,0.04640215198386012,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0749354005167958
30,1583,111,0.07012002526847758,0.75,0.75,0.75,0.006317119393556538,1.0,0.09009009009009009,0.1652892561983471,0,0.09375
31,1146,60,0.05235602094240838,0.99,0.99,0.99,0.0,,0.0,,0,0.1184834123222749
32,1553,101,0.06503541532517708,0.75,0.75,0.75,0.00128783000643915,1.0,0.019801980198019802,0.038834951456310676,0,0.0422264875239923
33,938,83,0.08848614072494669,0.75,0.75,0.75,0.0042643923240938165,0.5,0.024096385542168676,0.04597701149425288,0,0.0804020100502512
34,1596,110,0.06892230576441102,0.8000000000000002,0.8,0.8,0.0012531328320802004,1.0,0.01818181818181818,0.03571428571428572,0,0.0617469879518072
35,1168,72,0.06164383561643835,0.7599999999999999,0.76,0.76,0.0017123287671232876,1.0,0.027777777777777776,0.05405405405405406,0,0.0780487804878048
36,1231,44,0.03574329813160033,0.99,0.99,0.99,0.0,,0.0,,0,0.0449101796407185
37,934,38,0.04068522483940043,0.8,0.8,0.8,0.0010706638115631692,1.0,0.02631578947368421,0.05128205128205127,0,0.0488636363636363
38,944,26,0.02754237288135593,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.04
39,1197,94,0.0785296574770259,0.9900000000000002,0.99,0.99,0.000835421888053467,1.0,0.010638297872340425,0.021052631578947368,0,0.1233766233766233
40,1579,66,0.04179860671310956,0.99,0.99,0.99,0.0,,0.0,,0,0.0422654268808114
41,1456,78,0.05357142857142857,0.99,0.99,0.99,0.0,,0.0,,0,0.0457038391224862
42,1297,95,0.07324595219737856,0.99,0.99,0.99,0.0,,0.0,,0,0.0722041259500543
43,877,18,0.020524515393386546,0.99,0.99,0.99,0.0,,0.0,,0,0.0534825870646766
44,1057,22,0.020813623462630087,0.9900000000000001,0.99,0.99,0.002838221381267739,1.0,0.13636363636363635,0.24000000000000002,0,0.0537862703467799
45,790,18,0.02278481012658228,0.99,0.99,0.99,0.0,,0.0,,0,0.0453752181500872
46,1274,195,0.15306122448979592,0.99,0.99,0.99,0.0,,0.0,,0,0.1275720164609053
47,1071,95,0.08870214752567694,0.99,0.99,0.99,0.0,,0.0,,0,0.2857142857142857
48,1274,85,0.06671899529042387,0.99,0.99,0.99,0.0,,0.0,,0,0.0389773679798826
49,1079,98,0.09082483781278962,0.99,0.99,0.99,0.0,,0.0,,0,0.0746606334841629
50,835,21,0.025149700598802394,0.83,0.8300000000000001,0.8300000000000001,0.0,,0.0,,0,0.1083916083916083
51,1322,102,0.07715582450832073,0.8499999999999999,0.85,0.85,0.0,,0.0,,0,0.1388888888888889
52,1409,71,0.050390347764371894,0.9900000000000001,0.99,0.99,0.0007097232079489,1.0,0.014084507042253521,0.02777777777777778,0,0.1069958847736625
53,1752,64,0.0365296803652968,0.99,0.99,0.99,0.0,,0.0,,0,0.0508259212198221
54,1529,100,0.06540222367560497,0.99,0.99,0.99,0.0,,0.0,,0,0.0763636363636363
55,1557,161,0.10340398201669879,0.84,0.8400000000000001,0.8400000000000001,0.007064868336544637,0.9090909090909091,0.062111801242236024,0.11627906976744186,0,0.3442622950819672
56,1649,184,0.11158277744087326,0.7699999999999999,0.77,0.77,0.01879927228623408,0.9032258064516129,0.15217391304347827,0.26046511627906976,0,0.2014925373134328
57,1205,93,0.07717842323651453,0.8,0.8,0.8,0.0033195020746887966,1.0,0.043010752688172046,0.08247422680412372,0,0.1230425055928411
58,1562,157,0.10051216389244558,0.78,0.78,0.78,0.004481434058898848,1.0,0.044585987261146494,0.08536585365853658,0,0.1958041958041958
59,981,133,0.13557594291539246,0.84,0.8400000000000001,0.8400000000000001,0.0050968399592252805,1.0,0.03759398496240601,0.07246376811594202,0,0.206060606060606
60,1684,153,0.09085510688836104,0.84,0.8400000000000001,0.8400000000000001,0.0005938242280285036,1.0,0.006535947712418301,0.012987012987012988,0,0.1041009463722397
61,1269,124,0.09771473601260836,0.75,0.75,0.75,0.0031520882584712374,1.0,0.03225806451612903,0.0625,0,0.155
62,1237,95,0.07679870654810024,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.0,,0.0,,0,0.1146788990825688
63,1416,81,0.057203389830508475,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0910714285714285
64,1355,126,0.0929889298892989,0.78,0.78,0.78,0.016974169741697416,0.5217391304347826,0.09523809523809523,0.1610738255033557,0,0.3775510204081632
65,1717,102,0.0594059405940594,0.75,0.75,0.75,0.0005824111822947001,1.0,0.00980392156862745,0.01941747572815534,0,0.0932203389830508
66,1647,80,0.048573163327261686,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.10041904044446781
67,1435,130,0.09059233449477352,0.75,0.75,0.75,0.0,,0.0,,0,0.1509433962264151
68,877,18,0.020524515393386546,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.0,,0.0,,0,0.0244821092278719
69,1057,88,0.08325449385052035,0.75,0.75,0.75,0.0,,0.0,,0,0.027961736571008
70,1046,57,0.05449330783938815,0.7699999999999999,0.77,0.77,0.0,,0.0,,0,0.0415947563201833
71,1591,242,0.15210559396605908,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.01948460087994972,0.8709677419354839,0.1115702479338843,0.1978021978021978,0,0.5
72,1321,118,0.08932626797880394,0.75,0.75,0.75,0.000757002271006813,1.0,0.00847457627118644,0.01680672268907563,0,0.196
73,1425,112,0.07859649122807018,0.75,0.75,0.75,0.0,,0.0,,0,0.0886075949367088
74,1400,132,0.09428571428571429,0.76,0.76,0.76,0.0007142857142857143,1.0,0.007575757575757576,0.015037593984962407,0,0.1837455830388692
75,1504,124,0.08244680851063829,0.8499999999999998,0.85,0.85,0.0,,0.0,,0,0.2792792792792793
76,2189,116,0.05299223389675651,0.7599999999999999,0.76,0.76,0.0,,0.0,,0,0.0671140939597315
77,1924,148,0.07692307692307693,0.75,0.75,0.75,0.0,,0.0,,0,0.1220159151193634
78,1906,227,0.11909758656873033,0.8100000000000003,0.81,0.81,0.002098635886673662,0.75,0.013215859030837005,0.025974025974025976,0,0.3130434782608696
79,1984,207,0.10433467741935484,0.75,0.75,0.75,0.0020161290322580645,1.0,0.01932367149758454,0.03791469194312796,0,0.1941747572815534
80,1280,117,0.09140625,0.75,0.75,0.75,0.0015625,1.0,0.017094017094017096,0.033613445378151266,0,0.244131455399061
81,1954,193,0.09877175025588536,0.8000000000000002,0.8,0.8,0.0010235414534288639,1.0,0.010362694300518135,0.020512820512820513,0,0.3409090909090909
82,1237,159,0.12853678253839934,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.005658852061438965,1.0,0.0440251572327044,0.08433734939759036,0,0.1863488624052004
83,1985,215,0.10831234256926953,0.9900000000000002,0.99,0.99,0.004534005037783375,1.0,0.04186046511627907,0.08035714285714286,0,0.3093023255813952
84,1488,153,0.1028225806451613,0.7999999999999999,0.8,0.8,0.0,,0.0,,0,0.16
85,1669,117,0.0701018573996405,0.9900000000000001,0.99,0.99,0.0005991611743559018,1.0,0.008547008547008548,0.016949152542372885,0,0.123076923076923
86,1572,160,0.10178117048346055,0.75,0.75,0.75,0.004452926208651399,0.5714285714285714,0.025,0.04790419161676646,0,0.2767295597484276
87,1999,131,0.0655327663831916,0.8000000000000002,0.8,0.8,0.0050025012506253125,1.0,0.07633587786259542,0.14184397163120568,0,0.1230366492146596
88,1695,169,0.09970501474926254,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.2202380952380952
89,1430,106,0.07412587412587412,0.75,0.75,0.75,0.0,,0.0,,0,0.1475409836065573
90,1312,71,0.054115853658536585,0.7699999999999999,0.77,0.77,0.0,,0.0,,0,0.0360655737704918
91,1725,118,0.06840579710144927,0.76,0.76,0.76,0.0011594202898550724,0.5,0.00847457627118644,0.016666666666666666,0,0.2033542976939203
92,877,18,0.020524515393386546,0.9000000000000002,0.9,0.9,0.0,,0.0,,0,0.018009768009768
93,1205,113,0.0937759336099585,0.75,0.75,0.75,0.0,,0.0,,0,0.1452991452991453
94,1346,125,0.09286775631500743,0.7599999999999999,0.76,0.76,0.0,,0.0,,0,0.0677290836653386
95,1851,121,0.06537007023230686,0.7699999999999999,0.77,0.77,0.0,,0.0,,0,0.0992616899097621
